,symbol,code,retracement_level
646,KLUANG,2453,Fibo382_dist
647,AMLEX,03011,Fibo236_dist
648,KRETAM,1996,Fibo500_dist
649,ENGTEX,5056,Fibo764_dist
650,ATTA,7099,
651,CENSOF,5195,Fibo618_dist
652,CHOOBEE,5797,Fibo382_dist
653,STAR,6084,Fibo500_dist
654,LTKM,7085,Fibo764_dist
655,MERCURY,8192,Fibo764_dist
656,ADVPKG,9148,Fibo764_dist
657,NOVAMSC,0026,Fibo500_dist
658,HUBLINE,7013,Fibo382_dist
659,KAREX,5247,Fibo618_dist
660,NSOP,2038,Fibo236_dist
661,CHEETAH,7209,Fibo618_dist
662,BSLCORP,7221,Fibo382_dist
663,ULICORP,7133,Fibo618_dist
664,TURIYA,4359,Fibo500_dist
665,MPHBCAP,5237,Fibo236_dist
666,NTPM,5066,Fibo382_dist
667,IWCITY,1589,Fibo382_dist
668,PELIKAN,5231,Fibo764_dist
669,MBG,5886,Fibo618_dist
670,MISC,3816,Fibo764_dist
671,LIENHOE,3573,Fibo618_dist
672,EKSONS,9016,Fibo236_dist
673,TNLOGIS,8397,Fibo382_dist
674,CAB,7174,Fibo236_dist
675,SUMATEC,1201,
676,WCT,9679,Fibo500_dist
677,BORNOIL,7036,Fibo382_dist
678,PMHLDG,1287,Fibo618_dist
679,SMCAP,9776,Fibo500_dist
680,APPASIA,0119,Fibo618_dist
681,MUH,9539,Fibo764_dist
682,INCKEN,2607,Fibo500_dist
683,MASTEEL,5098,Fibo500_dist
684,SJC,9431,
685,PAOS,5022,Fibo764_dist
686,AEM,7146,Fibo382_dist
687,ALCOM,2674,Fibo764_dist
688,SYSTECH,0050,Fibo236_dist
689,LEBTECH,9628,Fibo764_dist
690,MEGASUN,0081,Fibo500_dist
691,NYLEX,4944,Fibo618_dist
692,CGB,8052,Fibo382_dist
693,BLDPLNT,5069,Fibo382_dist
694,UNISEM,5005,Fibo382_dist
695,PEB,5622,Fibo618_dist
696,ABLEGRP,7086,Fibo382_dist
697,ACOSTEC,7120,Fibo764_dist
698,CHUAN,7016,Fibo500_dist
699,XIANLNG,7121,Fibo236_dist
700,WCEHB,3565,Fibo236_dist
701,BOXPAK,6297,Fibo764_dist
702,APB,5568,Fibo764_dist
703,P&O,6009,Fibo764_dist
704,AISB,2682,Fibo764_dist
705,SALCON,8567,Fibo382_dist
706,WARISAN,5016,Fibo764_dist
707,TASEK,4448,Fibo236_dist
